Model,MAE,RMSE,MAPE_percent,R2,TrainingSeconds
<<<<<<< HEAD
XGBoost,7.090281219770385,11.29741584260347,11.292939161255536,0.9776608519705353,0.6024606227874756
LSTM,8.909435272216797,13.536018077721033,16.5751891381797,0.9674082398414612,75.7633535861969
GRU,8.1262788772583,12.486089061189068,16.695624046892853,0.9722681641578674,149.9217619895935
=======
XGBoost,7.0709910766936375,11.260892166865611,11.242180183027456,0.9778050599782222,0.9237627983093262
LSTM,8.700966835021973,13.265438658143527,15.634427190659991,0.9686982035636902,37.910282135009766
GRU,8.085136413574219,12.615360016646745,13.794082424649678,0.9716909527778625,55.32842516899109
>>>>>>> ea7b5a0867601e37e7692a9d32752d4ee7f3f010
