loss,mae,val_loss,val_mae
<<<<<<< HEAD
0.002603686647489667,0.034995187073946,0.0005896993679925799,0.017531000077724457
0.0011533836368471384,0.023794397711753845,0.0005777793121524155,0.01729859784245491
0.0010405931388959289,0.022210687398910522,0.0005889805033802986,0.01690864935517311
0.0009854035452008247,0.021457504481077194,0.0006334498175419867,0.017107155174016953
0.0009661951335147023,0.021182628348469734,0.0006359011749736965,0.017766356468200684
0.0009306865395046771,0.02073359303176403,0.0005416940548457205,0.01619316264986992
0.0009134640567936003,0.020469868555665016,0.0006220772047527134,0.017934340983629227
0.0008983663283288479,0.020234012976288795,0.0005475512007251382,0.015905750915408134
0.0008735237061046064,0.019887708127498627,0.0006029761862009764,0.016839444637298584
0.0008686601649969816,0.019743414595723152,0.0006480731535702944,0.018156055361032486
0.0008531582425348461,0.019514119252562523,0.0005772654549218714,0.01740455813705921
=======
0.003581463824957609,0.03889508172869682,0.000662879494484514,0.01891743764281273
0.0011984310112893581,0.024231841787695885,0.0005729234544560313,0.016973640769720078
0.0010631344048306346,0.02252015843987465,0.0006177310715429485,0.018906617537140846
0.0010103888344019651,0.021739182993769646,0.0005932775093242526,0.017468221485614777
0.000969323911704123,0.021168142557144165,0.000599998573306948,0.018503427505493164
0.0009359559044241905,0.020695623010396957,0.0006111382972449064,0.018984828144311905
0.0009138432214967906,0.020362263545393944,0.0006572696729563177,0.020416125655174255
>>>>>>> ea7b5a0867601e37e7692a9d32752d4ee7f3f010
