loss,mae,val_loss,val_mae
0.003748311661183834,0.0385761633515358,0.0006341186817735434,0.017995869740843773
0.0012682805536314845,0.024980874732136726,0.0005641661700792611,0.016653021797537804
0.0011184747563675046,0.023245636373758316,0.0006265403353609145,0.017437580972909927
0.0010636001825332642,0.022423265501856804,0.000591738848015666,0.01658196747303009
0.0010157616343349218,0.021761493757367134,0.0007187892333604395,0.02012719213962555
0.0009690966107882559,0.021137412637472153,0.0005295678856782615,0.015885526314377785
0.0009427033364772797,0.0208470169454813,0.0005545652820728719,0.016149157658219337
0.0009209226118400693,0.020507853478193283,0.0005035049980506301,0.01602056995034218
0.0009006812470033765,0.020327864214777946,0.0005827886052429676,0.01808520220220089
0.0008848025463521481,0.020081989467144012,0.0005213181721046567,0.01595117151737213
